Symbol,Name,Market
DCH,Cong ty Co phan Dia chinh Ha Noi,Upcom
DCI,Cong ty Co phan Cong nghiep Hoa chat Da Nang,Upcom
DCL,Cong ty Co phan Duoc pham Cuu Long,HSX
DCM,Cong ty Co phan Phan bon Dau khi Ca Mau,HSX
DCR,Cong ty co phan Gach men Cosevco,Upcom
DCS,Cong ty Co phan Tap doan Dai Chau,Upcom
DCT,Cong ty Co phan Tam lop Vat lieu xay dung Dong Nai,Upcom
DCVEIL,Dragon Capital Vietnam Enterprise Investment Ltd,OTC
DCVGF,Dragon Capital Vietnam Growth Fund Ltd,OTC
DDG,Cong ty co phan Dau tu Cong nghiep Xuat nhap khau Dong Duong,HNX
DDH,CTCP Dam bao giao thong duong thuy Hai Phong,Upcom
DDM,Cong ty Co phan Hang hai Dong Do,Upcom
DDN,Cong ty Co phan Duoc - Thiet bi Y te Da Nang,Upcom
DDS,Cong ty Co phan Chung khoan AIS,OTC
DDV,Cong ty co phan DAP - VINACHEM,Upcom
DELOITTE,Cong ty TNHH Deloitte Viet Nam,OTC
DFC,Cong ty Co phan Xich lip Dong Anh,Upcom
DFS,CTCP Che bien Xuat nhap khau Nong san Thuc pham Dong Nai,Upcom
DGC,Cong ty Co phan Tap doan Hoa chat Duc Giang,HSX
DGL,CTCP Hoa chat Duc Giang – Lao Cai,HNX
DGT,Cong ty co phan Cong trinh Giao thong Dong Nai,Upcom
DGW,Cong ty co phan The gioi so,HSX
DHA,Cong ty Co phan Hoa An,HSX
DHB,Cong ty Co phan Phan dam va Hoa chat Ha Bac,Upcom
DHC,Cong ty Co phan Dong Hai Ben Tre,HSX
DHD,Cong ty co phan Duoc Vat tu Y te Hai Duong,Upcom
DHG,Cong ty Co phan Duoc Hau Giang,HSX
DHI,Cong ty co phan In Dien Hong,HNX
DHL,Cong ty co phan Co khi Van tai Thuong mai Dai Hung,HNX
DHM,Cong ty co phan Thuong mai va khai thac khoang san Duong Hieu,HSX
DHN,Cong ty Co phan Duoc pham Ha Noi,Upcom
DHP,Cong ty Co phan Dien Co Hai Phong,HNX
DHT,Cong ty Co phan Duoc pham Ha Tay,HNX
DIANA,CTCP Diana Unicharm,OTC
DIC,Cong ty Co phan Dau tu va Thuong mai DIC,Upcom
DID,Cong ty Co phan DIC - Dong Tien,Upcom
DIENMAYCHOLON,Cong ty TNHH Cao Phong,OTC
DIENMAYHC,Cong ty TNHH thuong mai VHC,OTC
DIG,Tong Cong ty Co phan Dau tu Phat trien Xay dung,HSX
DIH,Cong ty Co phan Dau tu Phat trien Xay dung - Hoi An,HNX
DKC,CTCP Cho Lang Son,Upcom
DKH,Trung tam Dang kiem phuong tien Giao thong Thuy bo,Upcom
DKP,Cong ty co phan Duoc khoa,Upcom
DL1,CTCP Tap doan nang luong tai tao Viet Nam,HNX
DLC,Cong ty co phan Du lich Can Tho,Upcom
DLD,Cong ty Co phan Du lich Dak Lak,Upcom
DLG,Cong ty Co phan Tap doan Duc Long Gia Lai,HSX
DLR,Cong ty Co phan Dia oc Da Lat,Upcom
DLT,CTCP Du lich va Thuong mai – Vinacomin,Upcom
DLV,Cong ty Co phan Du lich Viet Nam Vitours,Upcom
DM7,Cong ty co phan Det may 7,Upcom
DMC,Cong ty Co phan Xuat nhap khau Y te Domesco,HSX
DNA,Cong ty Co phan Dien nuoc An Giang,Upcom
DNB,Cong ty TNHH MTV Sach va Thiet bi truong hoc tinh Dak Nong,Upcom
DNC,Cong ty Co phan Dien nuoc Lap may Hai Phong,HNX
DND,CTCP Dau tu Xay dung va Vat lieu Dong Nai,Upcom
DNE,Cong ty Co phan Moi truong Do thi Da Nang,Upcom
DNF,Cong ty Co phan Luong thuc Da Nang,Upcom
DNH,Cong ty Co phan Thuy dien Da Nhim - Ham Thuan - Da Mi,Upcom
DNL,Cong ty co phan Logistic Cang Da Nang,Upcom
DNM,Tong Cong ty co phan Y te Danameco,HNX
DNN,Cong ty Co phan Cap nuoc Da Nang,Upcom
DNP,Cong ty Co phan Nhua Dong Nai,HNX
DNR,CTCP Duong sat Quang Nam - Da Nang,Upcom
DNS,Cong ty Co phan Thep Da Nang,Upcom
DNSE,Cong ty Co phan Chung khoan Dai Nam,OTC
DNT,Cong ty Co phan Du lich Dong Nai,Upcom
DNV,CTCP Thuong mai Dich vu VDA Da Nang,OTC
DNW,Cong ty co phan Cap nuoc Dong Nai,Upcom
DNY,Cong ty Co phan Thep Dana - Y,Upcom
DOC,Cong ty co phan Vat tu nong nghiep Dong Nai,Upcom
DOFICO,Tong Cong ty Cong nghiep Thuc pham Dong Nai,OTC
DOJI,CTCP Tap doan Vang bac da quy Doji,OTC
DONA,Cong ty co phan Thuc pham va nuoc giai khat Dona Newtower,OTC
DOP,CTCP Van tai Xang dau Dong Thap,Upcom
DP1,Cong ty Co phan duoc pham Trung uong CPC1,Upcom
DP2,Cong ty Co phan Duoc pham Trung uong 2,Upcom
DP3,Cong ty Co phan Duoc pham Trung uong 3,HNX
DPC,Cong ty Co phan Nhua Da Nang,HNX
DPG,Cong ty Co phan Dat Phuong,HSX
DPH,Cong ty Co phan Duoc pham Hai Phong,Upcom
DPM,Tong Cong ty Phan bon va Hoa chat Dau khi-CTCP,HSX
DPP,Cong ty Co phan Duoc Dong Nai,Upcom
DPR,Cong ty Co phan Cao su Dong Phu,HSX
DPS,Cong ty co phan Dau tu Phat trien Soc Son,HNX
DQC,Cong ty Co phan Bong den Dien Quang,HSX
DQMX,CTCP Dau tu Dia oc Dai Quang Minh,OTC
DRAGON,Dragon Capital,OTC
DRC,Cong ty Co phan Cao su Da Nang,HSX
DRG,Cong ty co phan Cao su Dak Lak,Upcom
DRH,Cong ty co phan DRH Holdings,HSX
DRI,Cong ty Co phan Dau tu Cao su Dak Lak,Upcom
DRL,Cong ty Co phan Thuy dien – Dien luc 3,HSX
DS3,Cong ty Co phan Quan ly Duong song so 3,HNX
DSC,Cong ty Co phan Chung khoan Da Nang,Upcom
DSG,Cong ty Co phan Kinh Viglacera Dap Cau,Upcom
DSN,Cong ty Co phan Cong vien nuoc Dam Sen,HSX
DSP,Cong ty co phan Dich vu Du lich Phu Tho,Upcom
DSS,Cong ty Co phan Duong sat Sai Gon,Upcom
DST,Cong ty Co phan Dau tu Sao Thang Long,HNX
DSV,Cong ty Co phan Duong sat Vinh Phu,Upcom
DT4,CTCP Quan ly bao tri duong thuy noi dia so 4,Upcom
DTA,Cong ty Co phan De Tam,HSX
DTB,Cong ty co phan Cong trinh Do thi Bao Loc,Upcom
DTC,Cong ty Co phan Viglacera Dong Trieu,Upcom
DTD,Cong ty Co phan Dau tu phat trien Thanh Dat,HNX
DTG,Cong ty Co phan Duoc pham Tipharco,Upcom
DTGG,Cong ty Co phan Dong Tam,OTC
DTH,Cong ty Co phan Duoc - Vat tu Y te Thanh Hoa,OTC
DTI,Cong ty Co phan Dau tu Duc Trung,Upcom
DTK,Tong cong ty Dien luc TKV - CTCP,Upcom
DTL,Cong ty Co phan Dai Thien Loc,HSX
DTN,Cong ty Co phan Diem Thong Nhat,Upcom
DTP,Cong ty co phan Duoc pham CPC1 Ha Noi,Upcom
DTS,CTCP Dich Vu Du Lich Da Lat,OTC
DTT,Cong ty Co phan Ky nghe Do Thanh,HSX
DTV,Cong ty Co phan Phat trien dien Nong thon Tra Vinh,Upcom
DUGARCO,Tong Cty Duc Giang - CTCP,OTC
DUOCBAOCHAU,CTCP Tap doan Duoc Bao Chau,OTC
DUS,CTCP Dich vu Do thi Da Lat,Upcom
DUYTANPLASTIC,CTCP San xuat Nhua Duy Tan,OTC
DVC,Cong ty co phan Thuong mai Dich vu Tong hop Cang Hai Phong,Upcom
DVD,Cong ty Co phan Duoc pham Vien Dong,HSX
DVH,Cong ty co phan Che tao may dien Viet Nam - Hungari,Upcom
DVIZ,CTCP Khu cong nghiep Dinh Vu,OTC
DVN,Tong Cong ty Duoc Viet Nam - CTCP,Upcom
DVP,Cong ty co phan Dau tu va Phat trien Cang Dinh Vu,HSX
DVS,Cong ty Co phan Thep Dinh Vu,OTC
DVSC,Cong ty Co phan Chung khoan Dai Viet,OTC
DVW,Cong ty Co phan Dich vu va Xay dung Cap nuoc Dong Nai,Upcom
DWS,Cong ty co phan Cap nuoc va Moi truong do thi Dong Thap,Upcom
DWSVF,DWS Vietnam Fund,OTC
DX2,Cong ty co phan Dau tu va Xay dung 319.2,Upcom
DXD,Cong ty co phan Dau tu va Xay dung - VVMI,Upcom
DXG,Cong ty Co phan Tap doan Dat Xanh,HSX
DXL,Cong ty Co phan Du lich va Xuat nhap khau Lang Son,Upcom
DXP,Cong ty co phan Cang Doan Xa,HNX
DXV,Cong ty Co phan VICEM Vat lieu Xay dung Da Nang,HSX
DZM,Cong ty Co phan Co dien Dzi An,HNX
E12,CTCP Xay dung dien Vneco12,Upcom
E1SSHN30,Chung chi quy ETF SSIAM-HNX30,HNX
E1VFVN30,Quy ETF VFMVN30,HSX
E29,CTCP Dau tu xay dung va ky thuat 29,Upcom
EAD,CTCP Thuy dien Dien luc Dak Lak,Upcom
EBA,Cong ty Co phan Dien Bac Na,HNX
EBS,Cong ty Co phan Sach Giao duc tai Tp.Ha Noi,HNX
ECC,Cong ty Co phan Chung khoan EUROCAPITAL,OTC
ECI,Cong ty Co phan Ban do va Tranh anh Giao duc,HNX
EFI,Cong ty Co phan Dau tu Tai chinh Giao duc,Upcom
EIB,Ngan hang Thuong mai Co phan Xuat nhap khau Viet Nam,HSX
EIC,Cong ty co phan EVN Quoc te,Upcom
EID,Cong ty Co phan Dau tu va Phat trien giao duc Ha Noi,HNX
EIFMC,Cong ty quan ly quy Eastspring Investments,OTC
EIN,Cong ty co phan Dau tu - Thuong mai - Dich vu Dien luc,Upcom
ELC,Cong ty Co phan Dau tu Phat trien Cong nghe Dien tu Vien thong,HSX
EMC,Cong ty co phan Co dien Thu Duc,HSX
EME,Cong ty Co phan Dien co,Upcom
EMG,Cong ty Co phan Thiet bi Phu tung Co dien,Upcom
EMICO,Tong Cty Phat trien Phat thanh Truyen hinh Thong tin,OTC
EMS,Tong Cong ty Chuyen phat nhanh Buu Dien - CTCP,Upcom
EPC,Cong ty TNHH Mot thanh vien Ca phe Ea Pok,Upcom
EPH,Cong ty Co phan dich vu xuat ban giao duc Ha Noi,Upcom
EPS,Cong ty Co Phan Chung khoan Gia Quyen,OTC
EVE,Cong ty co phan Everpia,HSX
EVF,Cong ty Tai chinh co phan Dien luc,Upcom
EVG,Cong ty Co phan Dau tu Everland,HSX
EVN,Tap doan Dien luc Viet Nam - Cong ty TNHH MTV,OTC
EVNCPC,Tong Cong ty Dien luc mien Trung,OTC
EVNHANOI,Tong Cong ty Dien luc Thanh pho Ha Noi,OTC
EVNHCMC,Tong Cong ty Dien luc Thanh pho Ho Chi Minh,OTC
EVNNPC,Tong Cong ty Dien luc mien Bac,OTC
EVNNPT,Tong Cong ty Truyen tai dien Quoc gia,OTC
EVNSPC,Tong Cong ty Dien luc mien Nam,OTC
EVS,Cong ty co phan Chung khoan Everest,HNX
EWH,CTCP EuroWindow Holding,OTC
EXIMLAND,Cong ty co phan Bat dong san E Xim,OTC
FBA,Cong ty Co phan Tap doan Quoc te FBA,Upcom
FBC,Cong ty Co phan Co khi Pho Yen,Upcom
FBT,Cong ty Co phan Xuat nhap khau Lam Thuy san Ben Tre,HSX
FCC,CTCP Lien hop Thuc pham,Upcom
FCM,Cong ty co phan Khoang san FECON,HSX
FCN,Cong ty co phan FECON,HSX
FCS,Cong ty Co phan Luong thuc Thanh pho Ho Chi Minh,Upcom
FDC,Cong ty Co phan Ngoai thuong va Phat trien Dau tu Thanh pho Ho Chi Minh,HSX
FDG,Cong ty Co phan Docimexco,Upcom
FDT,Cong ty co phan Fiditour,HNX
FGL,Cong ty co phan Ca phe Gia Lai,Upcom
FHN,Cong Ty Co phan Xuat Nhap Khau Luong Thuc - Thuc Pham Ha Noi,Upcom
FHS,Cong ty co phan Phat hanh sach T.P Ho Chi Minh,Upcom
FIC,Tong cong ty Vat Lieu Xay Dung So 1 - CTCP,Upcom
FID,Cong ty Co phan Dau tu va Phat trien Doanh nghiep Viet Nam,HNX
FIR,Cong ty Co phan Dia oc First Real,HSX
FIS,Cong ty Co phan He thong Thong tin FPT,OTC
FIT,Cong ty co phan Tap doan F.I.T,HSX
FIVIMART,CTCP Nhat Nam,OTC
FLC,Cong ty co phan Tap doan FLC,HSX
FLCS,'',OTC
FMC,Cong ty Co phan Thuc pham Sao Ta,HSX
FNS,Cong ty co phan Chung khoan FUNAN,OTC
FOC,Cong ty co phan Dich vu Truc tuyen FPT,Upcom
FORDVN,Cty TNHH Ford Viet Nam,OTC
FORMOSA,Cong ty TNHH Hung Nghiep Formosa,OTC
FOX,Cong ty Co phan Vien thong FPT,Upcom
FPC,Cong ty Co phan Full Power,HSX
FPT,Cong ty Co phan FPT,HSX
FPTCAPITAL,Cong ty Co phan Quan ly quy dau tu FPT,OTC
FPTEDU,Cong ty TNHH Giao duc FPT,OTC
FPTIS,Cong ty TNHH He thong Thong tin FPT,OTC
FPTTRADING,Cong ty TNHH Thuong mai FPT,OTC
FRC,Cong ty co phan Lam dac san Xuat khau Quang Nam,Upcom
FRM,Cong ty co phan Lam nghiep Sai Gon,Upcom
FRT,Cong ty co phan Ban le Ky thuat so FPT,HSX
FSC,Cong ty TNHH Chung khoan Yuanta Viet Nam,Upcom
FSO,Cong ty Co phan Co khi dong tau thuy san Viet Nam,Upcom
FSOFT,Cong ty TNHH Phan mem FPT,OTC
FT1,Cong ty Co phan Phu tung may so 1,Upcom
FTG,Cong ty co phan Thuong mai FPT,OTC
FTI,Cong ty Co phan Cong nghiep - Thuong mai Huu Nghi,Upcom
FTM,Cong ty Co phan Dau tu va Phat trien Duc Quan,HSX
FTS,Cong ty Co phan Chung khoan FPT,HSX
FTSEETF,FTSE Vietnam ETF,OTC
FTV,Cong ty Co phan Cong nghiep Ngu Kim Fortress,HNX
FUCTVGF1,Quy Dau tu tang truong TVAM,HSX
FUCTVGF2,Quy Dau tu tang truong Thien Viet 2,HSX
FUCVREIT,Quy Dau tu Bat dong san Techcom Viet Nam,HSX
FUESSV30,Quy ETF SSIAM VN30,HSX
FUESSV50,Quy ETF SSIAM VNX50,HSX
FUESSVFL,Quy ETF SSIAM VNFIN LEAD,HSX
FUEVFVND,Quy ETF VFMVN DIAMOND,HSX
FUEVN100,Quy ETF VINACAPITAL VN100,HSX
FUTA,CTCP Dau tu Phuong Trang,OTC
G20,Cong ty co phan Dau tu Det may G.Home,Upcom
G36,Tong Cong ty 36 - CTCP,Upcom
GAB,Cong ty Co phan Dau tu khai khoang va Quan ly tai san FLC,HSX
GAET,Tong Cong ty Kinh te ky thuat Cong nghiep quoc phong,OTC
GALAXYSTUDIO,CTCP Phim Thien Ngan,OTC
GAMI,CTCP Tap doan Gami,OTC
GAS,Tong Cong ty Khi Viet Nam-CTCP,HSX
GBS,Cong ty Co phan Chung khoan Golden Bridge Viet Nam,HNX
GCB,Cong ty Co Phan Petec Binh Dinh,Upcom
GCC,CTCP Van hoa Tong hop Ben Thanh,OTC
GDC,CTCP Xuat Nhap khau Gia Dinh,OTC
GDT,Cong ty Co phan Che bien Go Duc Thanh,HSX
GDW,Cong ty Co phan Cap nuoc Gia Dinh,HNX
GEG,Cong ty co phan Dien Gia Lai,HSX
GELEXIMCO,CTCP Xuat nhap khau Tong hop Ha Noi,OTC
GENCO1,Tong Cong ty Phat dien 1,OTC
GENCO2,Tong Cong ty Phat dien 2-Cong ty TNHH MTV,OTC
GENTRACO,CTCP Gentraco,OTC
GER,Cong ty Co phan The thao Ngoi sao Geru,Upcom
GEX,Tong Cong ty co phan Thiet bi dien Viet Nam,HSX
GFC,Cong ty Co phan Thuy san Gentraco,HNX
GGG,Cong ty co phan O to Giai Phong,Upcom
GGS,Cong ty Co phan Giong Gia suc Ha Noi,Upcom
GHA,Cong ty Co phan HAPACO Hai Au,HNX
GHC,Cong ty Co phan Thuy dien Gia Lai,Upcom
GHNB,Cong ty Dau an Golden Hope Nha Be,OTC
GIC,Cong ty Co phan Dau tu dich vu va Phat trien Xanh,HNX
GICSINGAPORE,GIC/Government of Singapore,OTC
GIDITEXCO,Cong ty TNHH MTV Det May Gia Dinh,OTC
GIL,Cong ty Co phan San xuat Kinh doanh Xuat nhap khau Binh Thanh,HSX
GKM,Cong ty Co phan Khang Minh Group,HNX
GLC,Cong ty co phan Vang Lao Cai,Upcom
GLS,Cong ty Co phan Chung khoan Sen Vang,OTC
GLT,Cong ty co phan Ky thuat dien Toan Cau,HNX
GLW,Cong ty Co phan Cap thoat nuoc Gia Lai,Upcom
GMA,Cong ty Co phan Enteco Viet Nam,HNX
GMC,Cong ty Co phan Garmex Sai Gon,HSX
GMD,Cong ty Co phan Gemadept,HSX
GMS,CTCP Thiet ke va gia cong phan men GMS888,OTC
GMVN,Cong ty TNHH O to GM Viet Nam,OTC
GMX,Cong ty co phan Gach Ngoi Gom Xay dung My Xuan,HNX
GND,Cong ty Co phan Gach ngoi Dong Nai,Upcom
GOLDENGATE,CTCP Thuong mai Dich vu Cong Vang,OTC
GOLFLONGTHANH,CTCP Dau tu va Kinh doanh golf Long Thanh,OTC
GPAC,Cong ty Co phan Quan ly Quy Doi tac Toan Cau,OTC
GPFUND,Cong ty Co phan Quan ly quy Dau khi Toan Cau,OTC
GQN,Trung tam Giong Thuy san Quang Nam,Upcom
GREENFEED,CTCP GreenFeed Viet Nam,OTC
GSC,Cong ty co phan Thuy dien Geruco Song Con,OTC
GSM,Cong ty co phan Thuy dien Huong Son,Upcom
GSP,Cong ty co phan Van tai San pham khi quoc te,HSX
GTA,Cong ty Co phan Che bien Go Thuan An,HSX
GTC,Cong ty Co phan Tra Rong Vang,Upcom
GTD,Cong ty Co phan Giay Thuong Dinh,Upcom
GTEL,Tong Cong ty Vien thong Toan cau,OTC
GTH,Cong ty Co phan Xay dung Giao thong Thua Thien Hue,Upcom
GTK,Cong ty co phan Giay Thuy Khue,Upcom
GTN,Cong ty co phan GTNfoods,HSX
GTS,CTCP Cong trinh Giao thong Sai Gon,Upcom
GTT,Cong ty Co phan Thuan Thao,Upcom
GVR,Tap doan Cong nghiep Cao su Viet Nam,HSX
GVT,Cong ty Co phan Giay Viet Tri,Upcom
H11,Cong ty Co phan Xay dung HUD101,Upcom
HAB,Cong ty Co phan Sach va Thiet bi Truong hoc Ha Noi,Upcom
HAC,Cong ty Co phan Chung khoan Hai Phong,Upcom
HAD,Cong ty Co phan Bia Ha Noi - Hai Duong,HNX
HAF,Cong ty Co phan Thuc pham Ha Noi,Upcom
HAG,Cong ty Co phan Hoang Anh Gia Lai,HSX
HAGLLAND,CTCP Xay dung va Phat trien Nha Hoang Anh,OTC
HAGLSUGAR,CTCP Mia duong Hoang Anh Gia Lai,OTC
HAH,Cong ty Co phan Van tai va Xep do Hai An,HSX
HAI,Cong ty Co phan Nong duoc H.A.I,HSX
HAIAUA,CTCP Hang khong Hai Au,OTC
HAICHAU,Cong ty Co phan Banh keo Hai Chau,OTC
HALIDA,Cong ty Lien doanh nha may bia Dong Nam A,OTC
HALLEY,Halley Sicav - Halley Asian Prosperity,OTC
HAM,Cong ty Co phan Vat tu Hau Giang,Upcom
HAN,Tong cong ty Xay dung Ha Noi - CTCP,Upcom
HANAKA,CTCP Tap doan HANAKA,OTC
HANDICO,Tong Cong ty Dau tu va phat trien Nha Ha Noi,OTC
HANEXIM,CTCP Xuat nhap khau Ha Anh,OTC
HANOITELECOM,CTCP Vien thong Ha Noi,OTC
HANOITOURIST,TONG CONG TY DU LICH HA NOI - CONG TY TNHH,OTC
HANVICO,Cong ty TNHH Han Viet,OTC
HAP,Cong ty Co phan Tap doan Hapaco,HSX
HAPF,Cong ty Co phan Quan ly quy Thai Binh Duong,OTC
HAR,Cong ty Co phan Dau tu Thuong mai Bat dong san An Duong Thao Dien,HSX
HAS,Cong ty Co phan HACISCO,HSX
HAT,Cong ty Co phan Thuong mai Bia Ha Noi,HNX
HAV,Cong ty Co phan ruou Hapro,Upcom
HAVANA,Cong ty co phan Hai Van Nam,OTC
HAW,Trung tam Nuoc sach va Ve sinh moi truong nong thon,Upcom
HAX,Cong ty Co phan Dich vu O to Hang Xanh,HSX
HBB,Ngan hang Thuong mai Co phan Nha Ha Noi,HNX
HBC,Cong ty co phan Tap doan Xay dung Hoa Binh,HSX
HBD,Cong ty Co phan Bao bi PP Binh Duong,Upcom
HBE,Cong ty Co phan Sach - Thiet bi truong hoc Ha Tinh,HNX
HBH,Cong ty Co phan Habeco - Hai Phong,Upcom
HBI,Cong ty Co phan HBI,Upcom
HBS,Cong ty Co phan Chung khoan Hoa Binh,HNX
HBSC,Cong ty Co phan Chung khoan Hung Thinh,OTC
HBW,Cong ty co phan Nuoc sach Hoa Binh,Upcom
HC1,CTCP Xay dung so 1 Ha Noi,Upcom
HC3,Cong ty Co phan Xay dung So 3 Hai Phong,Upcom
HCB,Cong ty co phan Det may 29/3,Upcom
HCC,Cong ty Co phan Be tong Hoa Cam - Intimex,HNX
HCD,Cong ty Co phan Dau tu San xuat va Thuong mai HCD,HSX
HCFVN,Cong ty TNHH MTV Tai chinh Home Credit Viet Nam,OTC
HCI,Cong ty Co phan Dau tu - Xay dung Ha Noi,Upcom
HCM,Cong ty Co phan Chung khoan Thanh pho Ho Chi Minh,HSX
HCS,Cong ty Co phan Thong tin Tin hieu Duong sat Ha Noi,Upcom
HCT,Cong ty Co phan Thuong mai Dich vu Van tai Xi mang Hai Phong,HNX
HD2,CTCP Dau tu Phat trien nha HUD2,Upcom
HD3,CTCP Dau tu Phat trien Nha va Do thi MHDI3,Upcom
HD6,CTCP Dau tu va Phat trien Nha so 6 Ha Noi,Upcom
HD8,CTCP Dau tu Phat trien Nha va Do thi HUD8,Upcom
HDA,Cong ty Co phan Hang son Dong A,HNX
HDB,Ngan hang TMCP Phat trien T.P Ho Chi Minh,HSX
HDC,Cong ty Co phan Phat trien nha Ba Ria-Vung Tau,HSX
HDG,Cong ty Co phan Tap doan Ha Do,HSX
HDM,Cong ty Co phan Det May Hue,Upcom
HDO,Cong ty Co phan Hung Dao Container,Upcom
HDP,Cong ty Co phan Duoc Ha Tinh,Upcom
HDW,Cong ty co phan Kinh doanh nuoc sach Hai Duong,Upcom
HEC,Cong ty Co phan Tu van Xay dung Thuy loi II,Upcom
HEJ,Tong Cong ty Tu van xay dung Thuy loi Viet Nam - Cong ty Co phan,Upcom
HEM,Cong ty co phan Che tao Dien Co Ha Noi,Upcom
HEP,Cong ty Co phan Moi truong va Cong trinh Do thi Hue,Upcom
HES,Cong ty Co phan Dich vu Giai tri Ha Noi,Upcom
HEV,Cong ty Co phan Sach Dai hoc - Day nghe,HNX
HFB,Cong ty Co phan Cong trinh Cau pha Thanh pho Ho Chi Minh,Upcom
HFC,Cong ty Co phan Xang dau HFC,Upcom
HFIC,Cong ty Dau tu Tai chinh Nha nuoc T.P Ho Chi Minh,OTC
HFS,Cong ty Co phan Thuong mai dich vu Thoi trang Ha Noi,Upcom
HFT,Cong ty Co phan Chung khoan Pinetree,Upcom
HFX,Cong ty co phan San xuat - Xuat nhap khau Thanh Ha,Upcom
HGA,Trung tam Giong Nong nghiep tinh Hau Giang,Upcom
HGC,Trung tam Quy hoach - Kien truc tinh Hau Giang,Upcom
HGM,Cong ty co phan Co khi va Khoang san Ha Giang,HNX
HGR,Trung tam Ky thuat Tai nguyen va Moi truong,Upcom
HGT,Cong ty co phan Du lich Huong Giang,Upcom
HGW,Cong ty Co phan Cap thoat nuoc - Cong trinh do thi Hau Giang,Upcom
HHA,Cong ty co phan Van phong pham Hong Ha,Upcom
HHC,Cong ty Co phan Banh keo Hai Ha,HNX
HHG,Cong ty Co phan Hoang Ha,HNX
HHL,Cong ty Co phan Hong Ha Long An,HNX
HHN,Cong ty Co Phan Van tai va Dich vu Hang hoa Ha Noi,Upcom
HHP,Cong ty co phan Giay Hoang Ha Hai Phong,HNX
HHR,Cong ty Co phan Duong sat Ha Hai,Upcom
HHS,Cong ty Co phan Dau tu Dich vu Hoang Huy,HSX
HHV,CTCP Dau tu ha tang giao thong Deo Ca,Upcom
HICC1,CTCP Dau tu va Xay dung so 1 Ha Noi,OTC
HID,Cong ty Co phan Halcom Viet Nam,HSX
HIG,Cong ty Co phan Tap doan HIPT,Upcom
HIGHLANDS,CTCP Dich vu Ca phe Cao nguyen,OTC
HII,Cong ty Co phan An Tien Industries,HSX
HIMLAM,CTCP Him Lam,OTC
HINOVN,Cong ty Lien doanh TNHH Hino Motors Viet Nam,OTC
HIS,Cong ty co phan Dau tu phat trien thuong mai tong hop Son Ha,OTC
HIZ,Cong ty co phan Khu cong nghiep Ho Nai,Upcom
HJC,Cong ty Co phan Hoa Viet,Upcom
HJS,Cong ty Co phan Thuy dien Nam Mu,HNX
HKB,Cong ty Co phan Nong nghiep va Thuc pham Ha Noi - Kinh Bac,HNX
HKC,CTCP Det Kim Ha Noi,Upcom
HKP,CTCP Bao bi Ha Tien,Upcom
HKT,Cong ty Co phan Dau tu EGO Viet Nam,HNX
HLA,Cong ty Co phan Huu Lien A Chau,Upcom
HLB,Cong ty Co phan Bia va Nuoc giai khat Ha Long,Upcom
HLC,CTCP Than Ha Lam - Vinacomin,HNX
HLCC,CTCP Xi mang Ha Long,OTC
HLD,Cong ty Co phan Dau tu va Phat trien Bat dong san HUDLAND,HNX
HLE,Cong ty Co phan Dien chieu sang Hai Phong,Upcom
HLG,Cong ty Co phan Tap doan Hoang Long,Upcom
HLR,Cong ty Co phan Duong sat Ha Lang,Upcom
HLS,Cong ty Co phan Su ky thuat Hoang Lien Son,Upcom
HLT,CTCP Det may Hoang Thi Loan,Upcom
HLY,Cong ty Co phan Viglacera Ha Long I,HNX
HMC,Cong ty Co phan Kim khi Thanh pho Ho Chi Minh - Vnsteel,HSX
HMG,CTCP Kim khi Ha Noi - VNSTEEL,Upcom
HMH,Cong ty Co phan Hai Minh,HNX
HMS,Cong ty Co phan Xay dung bao tang Ho Chi Minh,Upcom
HNA,Cong ty Co phan Thuy dien Hua Na,Upcom
HNB,CTCP Ben xe Ha Noi,Upcom
HND,CTCP Nhiet dien Hai Phong,Upcom
HNE,Cong ty co phan Hanel,Upcom
HNF,CTCP Thuc pham Huu Nghi,Upcom
HNG,Cong ty co phan Nong nghiep Quoc te Hoang Anh Gia Lai,HSX
HNI,Cong ty Co phan May Huu Nghi,Upcom
HNM,Cong ty Co phan Sua Ha Noi,HNX
HNP,Cong ty Co phan Hanel Xop nhua,Upcom
HNR,Cong ty co phan Ruou va Nuoc giai khat Ha Noi,Upcom
HNT,Cong ty Co phan Xe dien Ha Noi,Upcom
HOANCAU,Cong ty TNHH Hoan Cau,OTC
HOANGTHACH,Cong ty TNHH MTV Xi mang Vicem Hoang Thach,OTC
HOANGTHANH,CTCP Dau tu va Phat trien Ha tang Hoang Thanh,OTC
HOANMY,CTCP Y khoa Hoan My,OTC
HOM,Cong ty co phan Xi mang VICEM Hoang Mai,HNX
HONDA,Cong ty Honda Viet Nam,OTC
HOT,Cong ty co phan Du lich - Dich vu Hoi An,HSX
HPB,Cong ty Co phan Bao bi PP,Upcom
HPC,Cong ty Co phan Chung khoan Hai Phong,HNX
HPCO,CTCP Hoa Chat Hung Phat Ha Bac,OTC
HPD,Cong ty Cong ty Co phan Thuy dien Dak Doa,Upcom
HPG,Cong ty co phan Tap doan Hoa Phat,HSX
HPH,Cong ty Co phan Hoa chat Hung Phat Ha Bac,Upcom
HPI,Cong ty Co phan Khu cong nghiep Hiep Phuoc,Upcom
HPL,Cong ty Co phan Ben xe Tau pha Can Tho,Upcom
HPM,CTCP Xay dung Thuong mai va Khoang san Hoang Phuc,HNX
